"FRAME_NO, MEAN, STD_DEV"
370,13.2,5.1536394906900505
371,13.2,5.1536394906900505
372,13.2,5.1536394906900505
373,13.2,5.1536394906900505
374,13.2,5.1536394906900505
375,13.2,5.1536394906900505
376,13.2,5.1536394906900505
377,11.6,3.4985711369071804
378,11.6,3.4985711369071804
379,11.6,3.4985711369071804
380,11.6,3.4985711369071804
381,11.6,3.4985711369071804
382,11.6,3.4985711369071804
383,11.6,3.4985711369071804
384,11.6,3.4985711369071804
385,11.6,3.4985711369071804
386,11.6,3.4985711369071804
387,11.6,3.4985711369071804
388,11.6,3.4985711369071804
389,11.6,3.4985711369071804
390,11.6,3.4985711369071804
391,11.6,3.4985711369071804
392,11.6,3.4985711369071804
393,11.6,3.4985711369071804
394,11.6,3.4985711369071804
395,11.6,3.4985711369071804
396,11.6,3.4985711369071804
397,11.6,3.4985711369071804
398,11.6,3.4985711369071804
399,12.1,3.5623026261113755
400,12.1,3.5623026261113755
401,12.1,3.5623026261113755
402,12.1,3.5623026261113755
403,12.1,3.5623026261113755
404,12.1,3.5623026261113755
405,12.1,3.5623026261113755
406,12.1,3.5623026261113755
407,12.1,3.5623026261113755
408,12.1,3.5623026261113755
409,12.1,3.5623026261113755
410,12.1,3.5623026261113755
411,12.1,3.5623026261113755
412,12.1,3.5623026261113755
413,12.1,3.5623026261113755
414,12.1,3.5623026261113755
415,12.5,4.153311931459037
416,12.5,4.153311931459037
417,12.5,4.153311931459037
418,12.5,4.153311931459037
419,12.5,4.153311931459037
420,12.5,4.153311931459037
421,12.5,4.153311931459037
422,12.5,4.153311931459037
423,12.5,4.153311931459037
424,12.5,4.153311931459037
425,12.5,4.153311931459037
426,12.5,4.153311931459037
427,12.5,4.153311931459037
428,12.5,4.153311931459037
429,14.5,5.389805191284746
430,14.5,5.389805191284746
431,14.5,5.389805191284746
432,14.8,5.6000000000000005
433,14.8,5.6000000000000005
434,14.8,5.6000000000000005
435,14.8,5.6000000000000005
436,14.8,5.6000000000000005
437,13.4,4.923413450036469
438,13.4,4.923413450036469
439,13.4,4.923413450036469
440,13.4,4.923413450036469
441,13.4,4.923413450036469
442,12.8,4.1182520563948
443,12.8,4.1182520563948
444,12.8,4.1182520563948
445,13.1,4.52658811910251
446,13.1,4.52658811910251
447,13.4,4.903060268852505
448,13.4,4.903060268852505
449,13.4,4.903060268852505
450,13.4,4.903060268852505
451,13.4,4.903060268852505
452,12.9,4.109744517606903
453,12.9,4.109744517606903
454,12.9,4.109744517606903
455,13.0,4.312771730569565
456,12.9,4.109744517606903
457,14.6,5.407402333838309
458,14.6,5.407402333838309
459,14.6,5.407402333838309
460,14.6,5.407402333838309
461,14.6,5.407402333838309
462,14.6,5.407402333838309
463,14.6,5.407402333838309
464,12.2,3.893584466786357
465,12.2,3.893584466786357
466,12.2,3.893584466786357
467,12.4,3.9293765408777004
468,12.4,3.9293765408777004
469,12.4,3.9293765408777004
470,12.4,3.9293765408777004
471,12.4,3.9293765408777004
472,12.3,3.9
473,12.3,3.9
474,12.3,3.9
475,12.3,3.9
476,12.3,3.9
477,13.4,4.565084884205331
478,13.4,4.565084884205331
479,13.4,4.565084884205331
480,13.3,4.495553358597805
481,13.3,4.495553358597805
482,13.3,4.495553358597805
483,13.3,4.495553358597805
484,13.3,4.495553358597805
485,13.3,4.495553358597805
486,13.3,4.495553358597805
487,13.3,4.495553358597805
488,13.3,4.495553358597805
489,13.3,4.495553358597805
490,13.3,4.495553358597805
491,13.3,4.495553358597805
492,13.3,4.495553358597805
493,13.3,4.495553358597805
494,13.3,4.495553358597805
495,13.3,4.495553358597805
496,13.3,4.495553358597805
497,13.2,4.621688003316537
498,13.2,4.621688003316537
499,12.8,6.128621378417825
500,13.9,5.068530358989675
501,13.9,5.068530358989675
502,13.9,5.068530358989675
503,13.9,5.068530358989675
504,13.9,5.068530358989675
505,13.9,5.068530358989675
506,13.9,5.068530358989675
507,14.1,4.928488612140643
508,14.1,4.928488612140643
509,14.1,4.928488612140643
510,14.1,4.928488612140643
511,14.1,4.928488612140643
512,14.1,4.928488612140643
513,14.1,4.784349485562274
514,14.7,4.220189569201839
515,14.8,4.1182520563948
516,14.7,4.220189569201839
517,14.7,4.220189569201839
518,14.7,4.220189569201839
519,14.8,4.1182520563948
520,14.7,4.220189569201839
521,14.7,4.220189569201839
522,14.7,4.220189569201839
523,14.8,4.1182520563948
524,14.7,4.220189569201839
525,14.7,4.220189569201839
526,14.7,4.220189569201839
527,14.8,4.1182520563948
528,14.7,4.220189569201839
529,14.7,4.220189569201839
530,14.7,4.220189569201839
531,14.8,4.1182520563948
532,15.2,4.853864439804639
533,15.3,4.754997371187496
534,15.3,4.754997371187496
535,15.8,4.445222154178573
536,15.8,4.445222154178573
537,15.8,4.445222154178573
538,15.8,4.445222154178573
539,15.8,4.445222154178573
540,15.8,4.445222154178573
541,15.8,4.445222154178573
542,15.8,4.445222154178573
543,15.8,4.445222154178573
544,15.8,4.445222154178573
545,15.8,4.445222154178573
546,15.8,4.445222154178573
547,15.8,4.445222154178573
548,15.8,4.445222154178573
549,15.8,4.445222154178573
550,15.8,4.445222154178573
551,15.8,4.445222154178573
552,15.5,4.153311931459037
553,15.5,4.153311931459037
554,15.5,4.153311931459037
555,15.6,4.054626986542658
556,15.5,4.153311931459037
557,15.5,4.153311931459037
558,15.5,4.153311931459037
559,15.5,3.930648801406709
560,15.4,4.029888335921977
561,15.4,4.029888335921977
562,15.4,4.029888335921977
563,15.5,3.930648801406709
564,15.4,4.029888335921977
565,15.4,4.029888335921977
566,15.4,4.029888335921977
567,15.5,3.930648801406709
568,15.4,4.029888335921977
569,15.4,4.029888335921977
570,15.4,4.029888335921977
571,15.5,3.930648801406709
572,15.4,4.029888335921977
573,15.4,4.029888335921977
574,15.4,4.029888335921977
575,15.1,2.879236009777594
576,15.1,2.879236009777594
577,15.1,2.879236009777594
578,15.1,2.879236009777594
579,15.1,2.879236009777594
580,15.1,2.879236009777594
581,15.1,2.879236009777594
582,15.1,2.879236009777594
583,15.1,2.879236009777594
584,15.1,2.879236009777594
585,15.1,2.879236009777594
586,15.1,2.879236009777594
587,15.1,2.879236009777594
588,15.1,2.879236009777594
589,15.5,4.455333881989093
590,15.5,4.455333881989093
591,15.5,4.455333881989093
592,15.5,4.455333881989093
593,15.5,4.455333881989093
594,15.5,4.455333881989093
595,14.6,4.6303347611160905
596,14.6,4.6303347611160905
597,14.6,4.6303347611160905
598,14.6,4.6303347611160905
599,14.6,4.6303347611160905
600,14.6,4.6303347611160905
601,14.6,4.6303347611160905
602,14.6,4.6303347611160905
603,14.6,4.6303347611160905
604,14.6,4.6303347611160905
605,14.6,4.6303347611160905
606,14.6,4.6303347611160905
607,14.8,4.853864439804639
608,14.8,4.853864439804639
609,14.8,4.853864439804639
610,14.8,4.853864439804639
611,14.8,4.853864439804639
612,15.4,4.079215610874228
613,15.4,4.079215610874228
614,15.4,4.079215610874228
615,15.4,4.079215610874228
616,15.4,4.079215610874228
617,15.4,4.079215610874228
618,15.4,4.079215610874228
619,15.4,4.079215610874228
620,15.4,4.079215610874228
621,15.4,4.079215610874228
622,14.9,4.158124577258358
623,14.9,4.158124577258358
624,14.9,4.158124577258358
625,14.9,4.158124577258358
626,14.9,4.158124577258358
627,15.0,4.09878030638384
628,15.0,4.09878030638384
629,15.0,4.09878030638384
630,15.2,4.044749683231337
631,15.2,4.044749683231337
632,16.0,3.0
633,16.0,3.0
634,16.1,2.981610303175115
635,16.0,3.0
636,16.0,3.0
637,16.0,3.0
638,16.0,3.0
639,16.0,3.0
640,16.0,3.0
641,16.0,3.0
642,16.0,3.0
643,16.0,3.0
644,16.0,3.0
645,16.0,3.0
646,16.0,3.0
647,16.0,3.0
648,16.0,3.0
649,16.0,3.0
650,16.0,3.0
651,16.0,3.0
652,13.1,3.645545226711637
653,13.1,3.645545226711637
654,13.1,3.645545226711637
655,13.1,3.645545226711637
656,13.1,3.645545226711637
657,13.1,3.645545226711637
658,13.1,3.645545226711637
659,13.1,3.645545226711637
660,13.1,3.645545226711637
661,13.1,3.645545226711637
662,13.1,3.645545226711637
663,13.1,3.645545226711637
664,13.1,3.645545226711637
665,13.1,3.645545226711637
666,13.1,3.645545226711637
667,13.1,3.645545226711637
668,13.1,3.645545226711637
669,13.1,3.645545226711637
670,13.1,3.645545226711637
671,13.1,3.645545226711637
672,13.2,4.833218389437829
673,13.2,4.833218389437829
674,13.2,4.833218389437829
675,13.2,4.833218389437829
676,13.2,4.833218389437829
677,13.2,4.833218389437829
678,13.2,4.833218389437829
679,13.2,4.833218389437829
680,13.2,4.833218389437829
681,13.2,4.833218389437829
682,13.2,4.833218389437829
683,13.2,4.833218389437829
684,13.2,4.833218389437829
685,13.2,4.833218389437829
686,13.2,4.833218389437829
687,13.2,4.833218389437829
688,13.2,4.833218389437829
689,13.2,4.833218389437829
690,13.2,4.833218389437829
691,13.2,4.833218389437829
692,14.9,4.158124577258358
693,14.9,4.158124577258358
694,14.9,4.158124577258358
695,14.9,4.158124577258358
696,14.9,4.158124577258358
697,14.9,4.158124577258358
698,14.9,4.158124577258358
699,14.9,4.158124577258358
700,14.9,4.158124577258358
701,14.9,4.158124577258358
702,14.9,4.158124577258358
703,14.9,4.158124577258358
704,14.9,4.158124577258358
705,14.9,4.158124577258358
706,14.9,4.158124577258358
707,14.9,4.158124577258358
708,14.9,4.158124577258358
709,14.9,4.158124577258358
710,14.9,4.699999999999999
711,14.9,4.699999999999999
712,14.9,4.699999999999999
713,14.9,4.699999999999999
714,14.9,4.699999999999999
715,14.9,4.699999999999999
716,14.9,4.699999999999999
717,14.9,4.699999999999999
718,14.9,4.699999999999999
719,14.9,4.699999999999999
720,14.9,4.699999999999999
721,14.9,4.699999999999999
722,14.9,4.699999999999999
723,14.9,4.699999999999999
724,14.9,4.699999999999999
725,14.9,4.699999999999999
726,14.9,4.699999999999999
727,14.9,4.699999999999999
728,14.9,4.699999999999999
729,14.9,4.699999999999999
730,15.5,3.52845575287547
731,15.5,3.52845575287547
732,17.0,3.9496835316262997
733,17.0,3.9496835316262997
734,17.0,3.9496835316262997
735,17.0,3.9496835316262997
736,17.0,3.9496835316262997
737,17.0,3.9496835316262997
738,17.0,3.9496835316262997
739,17.0,3.9496835316262997
740,17.0,3.9496835316262997
